iteration, site, a, i, value
8, 3, 4, 0, 2.0071410279879514e-17
8, 4, 1, 0, -1.362226142355733e-26
8, 4, 2, 0, 3.720981781406725e-27
8, 4, 3, 0, -0.12185298427408393
8, 4, 4, 0, 2.0071410279879514e-17
9, 0, 1, 0, 2.885695327254687e-26
9, 0, 2, 0, 9.161007150420572e-27
9, 0, 3, 0, -0.1714227988866798
9, 0, 4, 0, 3.725528530918001e-17
9, 1, 1, 0, 2.885695327254687e-26
9, 1, 2, 0, 9.161007150420572e-27
9, 1, 3, 0, -0.1714227988866798
9, 1, 4, 0, 3.725528530918001e-17
9, 2, 1, 0, 2.885695327254687e-26
9, 2, 2, 0, 9.161007150420572e-27
9, 2, 3, 0, -0.1714227988866798
9, 2, 4, 0, 3.725528530918001e-17
9, 3, 1, 0, 2.885695327254687e-26
9, 3, 2, 0, 9.161007150420572e-27
9, 3, 3, 0, -0.1714227988866798
9, 3, 4, 0, 3.725528530918001e-17
9, 4, 1, 0, 2.885695327254687e-26
9, 4, 2, 0, 9.161007150420572e-27
9, 4, 3, 0, -0.1714227988866798
9, 4, 4, 0, 3.725528530918001e-17
10, 0, 1, 0, -7.460118807958917e-26
10, 0, 2, 0, 3.838890201973566e-27
10, 0, 3, 0, -0.277809773889261
10, 0, 4, 0, 7.052729711868138e-17
10, 1, 1, 0, -7.460118807958917e-26
10, 1, 2, 0, 3.838890201973566e-27
10, 1, 3, 0, -0.277809773889261
10, 1, 4, 0, 7.052729711868138e-17
10, 2, 1, 0, -7.460118807958917e-26
10, 2, 2, 0, 3.838890201973566e-27
10, 2, 3, 0, -0.277809773889261
10, 2, 4, 0, 7.052729711868138e-17
10, 3, 1, 0, -7.460118807958917e-26
10, 3, 2, 0, 3.838890201973566e-27
10, 3, 3, 0, -0.277809773889261
10, 3, 4, 0, 7.052729711868138e-17
10, 4, 1, 0, -7.460118807958917e-26
10, 4, 2, 0, 3.838890201973566e-27
10, 4, 3, 0, -0.277809773889261
10, 4, 4, 0, 7.052729711868138e-17
